rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read}; patient = agentFor, topics ] note)
rule(position=patient; type=HRitem; acts={read}; patient = uid, topics ] note)
rule(position=doctor, specialties ] cardiology; type=HRitem; acts={read}; author = uid, topics ] cardiology)
rule(position=doctor, specialties ] oncology; type=HRitem; acts={read}; author = uid, topics ] oncology)
rule(position=nurse; type=HR; acts={addItem}; ward = ward)
rule(position=doctor, specialties ] anesthesiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor, specialties ] cardiology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=doctor; type=HRitem; acts={read}; author = uid, topics ] {cardiology oncology})
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=patient; type=HR; acts={addNote}; patient = uid)
rule(position=doctor, specialties ] oncology; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=nurse; type=HRitem; acts={read}; ward = ward, topics ] nursing)
rule(position=doctor, specialties ] {cardiology oncology}; type=HR; acts={addItem}; treatingTeam ] teams)
rule(position=agent; type=HR; acts={addNote}; patient = agentFor)
rule(position=agent; type=HRitem; acts={read
